claim,evidence,label,category,trust_weight
"Telecom companies lobbied against 5G safety research","Investigative reporting has documented lobbying efforts by telecom companies on 5G regulation, though direct suppression of safety research is not well documented.",UNCERTAIN,Technology,0.60
"TikTok is banned in the United States","Legislation signed in 2024 required ByteDance to divest TikTok or face US ban. Implementation and legal challenges are ongoing.",UNCERTAIN,Politics,0.70
"Elon Musk is the richest person in the world","Forbes and Bloomberg Billionaires Index have at various times ranked Musk as the world's wealthiest individual; rankings fluctuate with asset values.",UNCERTAIN,Finance,0.72
"Twitter lost advertisers after Musk takeover","Multiple major brands suspended or reduced Twitter advertising following Musk's acquisition in 2022, citing content moderation concerns.",TRUE,Finance,0.90
"Meta is building the metaverse","Meta has invested heavily in virtual and augmented reality platforms under the metaverse vision, though commercial adoption has been slower than projected.",TRUE,Technology,0.88
"Apple has trillion dollar market cap","Apple has periodically held a market capitalization exceeding one trillion dollars, making it among the first companies to reach that threshold.",TRUE,Finance,0.92
"OpenAI developed ChatGPT","ChatGPT was developed by OpenAI and released publicly in November 2022, becoming the fastest-growing consumer application in history.",TRUE,Technology,0.97
"Generative AI creates copyright issues","Legal cases and academic analysis have raised significant unresolved questions about copyright status of AI training data and AI-generated content.",TRUE,Technology,0.91
"AI hallucinations are a fundamental problem","AI language models produce confident false statements, known as hallucinations, which is a documented and active research area.",TRUE,Technology,0.95
"Big tech companies are too powerful","Antitrust investigations by DOJ, FTC, and EU competition authorities into Google, Apple, Meta, Amazon, and Microsoft reflect regulatory concern about market concentration.",TRUE,Politics,0.88
"Net neutrality was repealed in the US","FCC voted to repeal net neutrality rules in 2017. Subsequent legal and regulatory battles have continued over internet service classification.",TRUE,Technology,0.93
"5G networks are faster than 4G","5G technology specifications and performance testing confirm significantly higher theoretical and practical speeds compared to 4G LTE networks.",TRUE,Technology,0.96
"Robo-advisors outperform human financial advisors","Research on automated investment services shows comparable risk-adjusted returns to human advisors at lower cost, with significant variation by market conditions.",UNCERTAIN,Finance,0.65
"High frequency trading destabilizes markets","SEC analysis and academic research show HFT can reduce spreads in normal conditions but may amplify volatility during market stress events.",UNCERTAIN,Finance,0.62
"The gig economy lacks worker protections","Research consistently finds gig workers lack standard employment benefits including healthcare, retirement plans, and unemployment insurance in most jurisdictions.",TRUE,Finance,0.91
"GDPR has improved data privacy","European Data Protection Board enforcement data shows increased awareness and some improved corporate data practices, though compliance is uneven.",TRUE,Technology,0.84
"Digital divide affects educational outcomes","Research correlates lack of internet access and devices with lower educational performance, a gap that became particularly visible during pandemic school closures.",TRUE,Education,0.91
"AI tutoring can improve learning outcomes","Randomized controlled trials of intelligent tutoring systems have shown significant learning gains, particularly in mathematics.",TRUE,Education,0.85
"School lunch nutrition affects academic performance","Studies find nutritional quality of school meals correlates with student attention, attendance, and test performance.",TRUE,Education,0.87
"Charter schools outperform public schools","Meta-analyses of charter school performance show high variance; some perform significantly better than comparable public schools while others perform worse.",UNCERTAIN,Education,0.65
"Teacher diversity improves student outcomes","Research finds students of color show academic benefits when taught by teachers of similar racial and ethnic backgrounds.",TRUE,Education,0.82
"Arts education improves STEM performance","Research shows arts education is associated with improved creative thinking and some academic outcomes, though causal mechanisms are debated.",UNCERTAIN,Education,0.65
"Standardized testing has racial bias","Psychometric research has documented differential item functioning and score gaps by race on standardized tests, raising validity questions.",UNCERTAIN,Education,0.62
"School funding inequality persists in the US","EdBuild and other nonprofit research organizations document significant per-pupil spending disparities between wealthy and poor school districts.",TRUE,Education,0.92
"Childhood poverty affects brain development","Neuroscience research using MRI imaging has found measurable differences in brain development associated with childhood poverty and chronic stress.",TRUE,Health,0.93
"Play-based learning is effective","Early childhood education research supports play-based learning as developmentally appropriate and associated with positive academic and social outcomes.",TRUE,Education,0.87
"College admissions favor legacy applicants","Research and litigation have documented significant preferences for children of alumni at elite universities, raising equity concerns.",TRUE,Education,0.89
"STEM graduates earn more than humanities graduates","BLS Occupational Employment Statistics consistently show higher median wages for STEM occupations than many humanities career paths.",TRUE,Education,0.88
"Financial literacy education reduces debt","Studies on financial education effectiveness show modest positive effects on financial knowledge but more mixed evidence on actual financial behavior changes.",UNCERTAIN,Education,0.62
"Military spending crowds out social investment","Economic analysis of opportunity costs shows military expenditure competes with alternative budget priorities, though causal displacement is complex.",UNCERTAIN,Politics,0.60
"The US military budget exceeds the next ten countries combined","SIPRI data has shown US defense spending exceeds the combined spending of the next several largest military spenders, though exact comparison depends on methodology.",TRUE,Politics,0.90
"NATO allies are not meeting spending commitments","NATO has documented that many member states do not meet the 2% of GDP defense spending guideline established by the alliance.",TRUE,Politics,0.92
"UN peacekeeping missions reduce conflict","Academic research shows UN peacekeeping operations correlate with reduced conflict recurrence, particularly civil wars, with some heterogeneity by mission type.",TRUE,Politics,0.85
"Sanctions are effective at changing state behavior","Political science research shows economic sanctions have limited success at compelling major policy changes but can impose significant economic costs.",UNCERTAIN,Politics,0.62
"Climate agreements reduce emissions","Analysis of emissions trends following Paris Agreement implementation shows insufficient progress toward stated targets in most signatory countries.",UNCERTAIN,Science,0.65
"International aid reduces poverty","Development economics research shows targeted aid programs have achieved significant poverty reduction in specific contexts, though general budget aid effectiveness is debated.",UNCERTAIN,Finance,0.62
"Human trafficking is increasing","UNODC Global Trafficking in Persons Report documents increasing detection of trafficking cases, though this may reflect improved detection rather than purely increased incidence.",UNCERTAIN,Politics,0.62
"Drug legalization reduces harm","Evidence from Portugal's decriminalization and other jurisdictions shows drug policy reform can reduce overdose deaths and incarceration without significant increase in use.",TRUE,Politics,0.82
"The opioid epidemic was caused by pharmaceutical marketing","Congressional investigations and litigation documents confirmed pharmaceutical companies including Purdue Pharma engaged in aggressive marketing downplaying opioid addiction risks.",TRUE,Health,0.94
"Gun violence in the US is uniquely high","Comparative international data shows US gun violence rates significantly exceed other high-income countries.",TRUE,Politics,0.94
"Mental illness does not cause most gun violence","Research by American Psychological Association and epidemiologists finds most gun violence is not perpetrated by those with diagnosable mental illness.",TRUE,Health,0.90
"Poverty drives crime","Criminological research finds strong correlations between poverty, inequality, and crime rates, though the causal relationship is complex.",TRUE,Politics,0.85
"Mass incarceration disproportionately affects minorities","Bureau of Justice Statistics data confirms Black and Hispanic Americans are incarcerated at significantly higher rates than white Americans.",TRUE,Politics,0.96
"Rehabilitation reduces recidivism","Meta-analyses of correctional programming show cognitive behavioral therapy and education programs significantly reduce reoffending rates.",TRUE,Politics,0.88
"Police funding affects crime rates","Criminological research on police resource allocation shows mixed findings; some studies find increased staffing reduces crime while others find limited effects.",UNCERTAIN,Politics,0.62
